iter	Passed	Remaining
1003	2258	3365
1004	2260	3363
1005	2263	3361
1006	2266	3359
1007	2270	3361
1008	2274	3361
1009	2277	3359
1010	2279	3357
1011	2282	3355
1012	2284	3354
1013	2287	3352
1014	2290	3350
1015	2293	3349
1016	2296	3348
1017	2299	3347
1018	2303	3347
1019	2306	3347
1020	2309	3346
1021	2312	3344
1022	2316	3344
1023	2318	3342
1024	2321	3341
1025	2324	3339
1026	2326	3337
1027	2329	3335
1028	2332	3334
1029	2334	3332
1030	2337	3330
1031	2339	3328
1032	2341	3325
1033	2344	3324
1034	2347	3322
1035	2349	3320
1036	2351	3317
1037	2353	3315
1038	2355	3312
1039	2358	3310
1040	2360	3308
1041	2363	3306
1042	2365	3304
1043	2367	3302
1044	2369	3299
1045	2371	3296
1046	2374	3294
1047	2376	3292
1048	2379	3291
1049	2381	3289
1050	2384	3287
1051	2386	3285
1052	2388	3282
1053	2391	3280
1054	2393	3278
1055	2396	3276
1056	2398	3274
1057	2400	3272
1058	2402	3269
1059	2405	3267
1060	2407	3265
1061	2410	3264
1062	2413	3262
1063	2415	3260
1064	2418	3258
1065	2419	3255
1066	2421	3252
1067	2423	3249
1068	2426	3248
1069	2428	3246
1070	2430	3243
1071	2432	3240
1072	2434	3238
1073	2436	3234
1074	2438	3232
1075	2440	3229
1076	2442	3227
1077	2444	3224
1078	2446	3222
1079	2448	3219
1080	2450	3216
1081	2452	3213
1082	2454	3211
1083	2456	3208
1084	2458	3206
1085	2461	3204
1086	2463	3202
1087	2465	3199
1088	2467	3197
1089	2469	3194
1090	2471	3191
1091	2473	3189
1092	2475	3186
1093	2477	3184
1094	2479	3181
1095	2481	3178
1096	2483	3176
1097	2485	3173
1098	2487	3170
1099	2490	3169
1100	2492	3166
1101	2494	3163
1102	2495	3161
1103	2497	3158
1104	2499	3155
1105	2502	3153
1106	2504	3151
1107	2506	3149
1108	2508	3146
1109	2510	3144
1110	2512	3141
1111	2514	3138
1112	2516	3136
1113	2518	3133
1114	2520	3130
1115	2523	3129
1116	2525	3126
1117	2527	3124
1118	2529	3121
1119	2531	3119
1120	2533	3116
1121	2535	3113
1122	2537	3111
1123	2539	3109
1124	2541	3106
1125	2543	3103
1126	2545	3100
